Task,Role
"Master data model creation. Reverse engineering legacy models, rules, transformations and lineage.",Data Modeler
Stakeholder engagement and processes optimization.,Dev Team Lead
Data migration QA framework development.,QA Engineer
UI functional / unit testing and requirements management.,QA Engineer
Credits reports merging rules and algorithms analysis and improvement.,Business Analyst
Stakeholder engagement and requirements management.,Business Analyst
Credits reports merging rules and algorithms analysis and improvement.,Data Analyst
Data quality analysis and FCRA compliance assurance. Regression testing.,Data Analyst
Credit report redesign and FCRA compliance assurance.,Product Designer
Credit report redesign and FCRA compliance assurance.,BI Developer
Re-creating legacy dashboards and data marts in the new environment.,BI Developer
Re-creating legacy dashboards and data marts in the new environment.,Business Analyst
Validating data availability and requirements.,Business Analyst
Data migration QA.,Data Analyst
Re-creating legacy dashboards and data marts in the new environment.,Data Analyst
Building self-service BI framework.,BI Developer
Server administration.,Server Administrator
"Analytical dashboards design, development, QA and UAT.",BI Developer
"Data analysis, modeling, transformation; legacy ETL scripts analysis and reverse-engineering.",BI Developer
Metrics and KPIs development.,BI Developer
"Analytical dashboards design, development, QA and UAT.",Consultant
"Tableau and data visualization best practices mentoring, knowledge sharing and consulting.",Consultant
"Tableau and data visualization best practices mentoring, knowledge sharing and consulting.",Dev Team Lead
Prototyping / POC development. Full day war room workshops.,BI Developer
"Tableau research and consulting: data connectivity, security, integration, visualization capabilities.",BI Developer
"Tableau research and consulting: data connectivity, security, integration, visualization capabilities.",Business Analyst
Data visualization best practices consulting.,Consultant
Prototyping / POC development. Full day war room workshops.,Consultant
"Tableau research and consulting: data connectivity, security, integration, visualization capabilities.",Consultant
Data profiling. Dummy data generation.,Data Analyst
Tableau server administration.,Server Administrator
"Corporate financial forecast model automation; improving quality, transparency, reliability and efficiency.",Automation Engineer
"Ad hoc descriptive/predictive analytics, modeling, interactive tools development for Finance and HR.",BI Developer
"Corporate financial forecast model automation; improving quality, transparency, reliability and efficiency.",BI Developer
"Interactive P&L reports and models for Account Managers: design, data quality, performance, automation.",BI Developer
Legacy VBA macros and MS Excel models maintenance and repair across financial departments.,BI Developer
"Ad hoc descriptive/predictive analytics, modeling, interactive tools development for Finance and HR.",Business Analyst
"Corporate financial forecast model automation; improving quality, transparency, reliability and efficiency.",Business Analyst
"Interactive P&L reports and models for Account Managers: design, data quality, performance, automation.",Business Analyst
Legacy VBA macros and MS Excel models maintenance and repair across financial departments.,Business Analyst
"Ad hoc descriptive/predictive analytics, modeling, interactive tools development for Finance and HR.",Data Analyst
"Corporate financial forecast model automation; improving quality, transparency, reliability and efficiency.",Data Analyst
"Interactive P&L reports and models for Account Managers: design, data quality, performance, automation.",Data Analyst
Legacy VBA macros and MS Excel models maintenance and repair across financial departments.,Data Analyst
Quarterly business trips to the Company's HQ (US) to assure on-site presence and immediate availability.,Data Analyst
"Ad hoc descriptive/predictive analytics, modeling, interactive tools development for Finance and HR.",Data Modeler
"Corporate financial forecast model automation; improving quality, transparency, reliability and efficiency.",Data Modeler
"Interactive P&L reports and models for Account Managers: design, data quality, performance, automation.",Data Modeler
"Corporate financial forecast model automation; improving quality, transparency, reliability and efficiency.",Product Designer
"Analytical dashboards design, development and consulting.",BI Developer
BI self-service framework implementation.,BI Developer
"Analytical dashboards design, development and consulting.",Business Analyst
BI self-service framework implementation.,Business Analyst
Technical writing; documentation and manuals creation.,Business Analyst
"Analytical dashboards design, development and consulting.",Consultant
BI self-service framework implementation.,Consultant
Data quality analysis.,Data Analyst
"Data transformation, modeling and governance.",Data Analyst
"Analytical dashboards design, development and consulting.",Data Modeler
BI self-service framework implementation.,Data Modeler
BI self-service framework implementation.,Dev Team Lead
"Data transformation, modeling and governance.",Data Modeler
"Analytical dashboards design, development and consulting.",Product Designer
Legacy financial tools enhancement and migration / rebuilding.,BI Developer
New financial tools design and development.,BI Developer
Legacy financial tools enhancement and migration / rebuilding.,Business Analyst
New financial tools design and development.,Business Analyst
"Writing technical and business documentation, manuals, user guides.",Business Analyst
Data transformation. Data QA.,Data Analyst
New financial tools design and development.,Product Designer
Data transformation. Data QA.,QA Engineer
"Application logic analysis: requirements, features, formulas and calculations.",Business Analyst
"Application logic analysis: requirements, features, formulas and calculations.",Consultant
New data model creation. Reverse-engineering legacy data model logic and constraints.,Product Designer
New data model creation. Reverse-engineering legacy data model logic and constraints.,Business Analyst
New data model creation. Reverse-engineering legacy data model logic and constraints.,Data Architect
"Prototyping, mockups / POC development.",BI Developer
"Prototyping, mockups / POC development.",Consultant
"Prototyping, mockups / POC development.",Product Designer
